timestamp, index, clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.active
2026/08/11 16:18:34.554, 2, 1755, 2100, 85, 285.77, 300.00, 90, 61, 0x0000000000000004
2026/08/11 16:18:39.555, 0, 1530, 2100, 88, 257.02, 300.00, 90, 58, 0x0000000000000020
2026/08/11 16:18:39.557, 1, 1560, 2100, 88, 268.54, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:39.561, 2, 1800, 2100, 85, 283.12, 300.00, 86, 56, 0x0000000000000020
2026/08/11 16:18:44.564, 0, 1530, 2100, 88, 257.39, 300.00, 92, 59, 0x0000000000000020
2026/08/11 16:18:44.567, 1, 1590, 2100, 88, 266.28, 300.00, 91, 60, 0x0000000000000020
2026/08/11 16:18:44.568, 2, 1860, 2100, 83, 270.10, 300.00, 46, 29, 0x0000000000000004
2026/08/11 16:18:49.570, 0, 1545, 2100, 88, 250.18, 300.00, 88, 56, 0x0000000000000020
2026/08/11 16:18:49.571, 1, 1575, 2100, 88, 257.82, 300.00, 88, 55, 0x0000000000000020
2026/08/11 16:18:49.581, 2, 1770, 2100, 85, 286.99, 300.00, 91, 62, 0x0000000000000004
2026/08/11 16:18:54.583, 0, 1530, 2100, 88, 260.15, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:54.587, 1, 1560, 2100, 88, 267.90, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:54.589, 2, 1695, 2100, 85, 286.54, 300.00, 90, 62, 0x0000000000000004
2026/08/11 16:18:59.590, 0, 1590, 2100, 88, 257.81, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:18:59.592, 1, 1635, 2100, 88, 266.20, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:18:59.595, 2, 1755, 2100, 85, 288.75, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:19:04.598, 0, 1530, 2100, 88, 258.20, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:04.600, 1, 1575, 2100, 88, 268.18, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:04.601, 2, 1770, 2100, 85, 288.84, 300.00, 91, 62, 0x0000000000000004
2026/08/11 16:19:09.603, 0, 1575, 2100, 88, 259.84, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:09.605, 1, 1575, 2100, 88, 268.34, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:19:09.607, 2, 1770, 2100, 85, 288.59, 300.00, 90, 62, 0x0000000000000004
2026/08/11 16:19:14.609, 0, 1515, 2100, 88, 259.47, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:19:14.611, 1, 1560, 2100, 88, 268.17, 300.00, 91, 60, 0x0000000000000020
2026/08/11 16:19:14.612, 2, 1770, 2100, 85, 287.54, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:19:19.615, 0, 1590, 2100, 88, 257.65, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:19:19.620, 1, 1620, 2100, 88, 266.90, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:19.621, 2, 1755, 2100, 85, 286.84, 300.00, 91, 62, 0x0000000000000004
2026/08/11 16:19:24.623, 0, 1515, 2100, 88, 257.17, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:24.625, 1, 1620, 2100, 88, 266.52, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:19:24.627, 2, 1755, 2100, 85, 288.64, 300.00, 91, 63, 0x0000000000000004
2026/08/11 16:19:29.631, 0, 1485, 2100, 88, 262.10, 300.00, 90, 60, 0x0000000000000020
2026/08/11 16:19:29.635, 1, 1590, 2100, 88, 265.71, 300.00, 90, 59, 0x0000000000000020
