cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca32,ridge,0.878050433276266,0.874745649870557,0.27817269504579323,0.30684077439263135
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca4,knn,0.8683376837009454,0.8665187221877144,0.2496265143574476,0.31714538279512416
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca4,ridge,0.8728782880729259,0.8683395665350159,0.27341818912431143,0.3138098446952797
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca8,knn,0.8690107661162532,0.8670667933914888,0.24683426874647185,0.3163998127292631
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca8,ridge,0.8767150317006108,0.8729895488541268,0.27499043625975106,0.3091675713284235
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pred1,knn,0.8323210943909464,0.8226630239546526,0.12037438339863912,0.36574076206706296
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pred1,ridge,0.8774856279433747,0.8694450625627458,0.27593375525265157,0.31248418138264106
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,emb32,knn,0.871689286607501,0.8678756009118563,0.20082605155668043,0.314932139830136
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,emb32,ridge,0.8788593018793979,0.8750642775010546,0.23789963320867938,0.30560541557663184
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca1,knn,0.8231443564607877,0.8119275094465448,0.10344728430171063,0.37923200351406616
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca1,ridge,0.8666503504306025,0.8524587050671961,0.22890165814928887,0.3367406720793623
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca16,knn,0.8708564596303892,0.8673796008375644,0.19699223641518077,0.31582537680572853
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca16,ridge,0.8775410869092539,0.8738657051612796,0.2408976806166185,0.30705246846196343
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca2,knn,0.8570756828980683,0.8574559703908109,0.193194075588618,0.33048758239374376
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca2,ridge,0.8670546683001428,0.862975181375882,0.22903460988548874,0.32441243929898395
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca32,knn,0.8716876770353654,0.8678739496438024,0.2015713112496082,0.3149346056096383
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca32,ridge,0.8788593018793979,0.8750642775010546,0.23789963320867938,0.3056054155766319
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca4,knn,0.865517869530148,0.8648467509927853,0.2174592620209687,0.31989075156694013
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca4,ridge,0.8683049475478146,0.8660454813414111,0.23429394359833688,0.3199965696143517
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca8,knn,0.8713898640696531,0.8685435038687334,0.1998493151015371,0.31495462997994195
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pca8,ridge,0.8744180789494755,0.8700884000496365,0.23913681767457767,0.3129361860397809
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pred1,knn,0.8351175128998275,0.8241046076918704,0.11548881203622528,0.36527231642732505
C_w1,2,outputs/rank_v1/C_w1/fold0_seed2,1.0,pred1,ridge,0.8792977970746642,0.8715408071722421,0.24391021980357394,0.30889209194882616
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,emb32,knn,0.8617312476770408,0.8584321140421955,0.17584687764962376,0.3255045264437847
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,emb32,ridge,0.8775785924866961,0.8731677979799193,0.2443088445827904,0.30790086286405205
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca1,knn,0.817576924476625,0.8030976397521961,0.05826131985335854,0.38576915134864476
