sweep_id,config,bootstrap,embedding,embedding_label,n_rows,input_dim,pprop_edge,n_positive,positive_rate,n_components,pca_explained_variance,pearson,spearman,r2,average_precision,auc,pearson_oob,spearman_oob,r2_oob,average_precision_oob,auc_oob
lyc0lh2d,cfg0,boot04,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7556725740432739,0.9781391280019922,0.9803763178765912,0.9271166674104591,1.0,1.0,0.6892574424140431,0.7020623061974666,0.46959277892079665,0.05581555882123695,0.6859187965456444
lyc0lh2d,cfg0,boot04,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7647579312324524,0.9782424302451073,0.9804003225811588,0.9295892044088467,1.0,1.0,0.7018513530260893,0.7162018836018769,0.4874533428354948,0.057018379485501106,0.6972620246051161
lyc0lh2d,cfg0,boot04,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7653396129608154,0.9785185422210437,0.9806883388839278,0.930730730887989,1.0,1.0,0.7085703674177145,0.7229466684019022,0.496376655337298,0.058760795389244,0.7116527563658303
lyc0lh2d,cfg0,boot04,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7612245082855225,0.977904172693,0.9802128048344642,0.9317546052859688,0.9999999999999999,1.0,0.7120885484123828,0.7255000787584732,0.5033443109450375,0.05438104507460015,0.7079192859939264
lyc0lh2d,cfg0,boot04,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.5643728971481323,0.9835685712468831,0.988338033669227,0.9624876205525653,0.9999999999999999,1.0,0.852924613739918,0.8544053923774456,0.7273481414334895,0.21305565345817745,0.8179081598220382
lyc0lh2d,cfg0,boot05,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7644459009170532,0.9774198592007942,0.9795133498721496,0.9212578997454507,0.9999999999999999,1.0,0.6568830114810298,0.6708834245310358,0.4268995293276344,0.0425399562404829,0.6792005491713005
lyc0lh2d,cfg0,boot05,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7631680369377136,0.9783218165812312,0.9804077341661115,0.9279396574228337,1.0,1.0,0.6941539395482847,0.7097755545961472,0.4759077386324453,0.05381844182510896,0.7026124248751252
lyc0lh2d,cfg0,boot05,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.77170729637146,0.9783256381210401,0.9803586522656282,0.9294279690729182,1.0,1.0,0.7015348814020209,0.7162930222785556,0.4866198567746838,0.06020932299789605,0.7002502364154591
lyc0lh2d,cfg0,boot05,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7709511518478394,0.9779805693009745,0.9801353604673949,0.9308209778558445,0.9999999999999998,1.0,0.7081130974472998,0.722529878320594,0.4971358248951495,0.06461577828582654,0.6946382932899084
lyc0lh2d,cfg0,boot05,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7672979831695557,0.9780486248671602,0.9802909328809897,0.9332131031788156,1.0,1.0,0.7197556865068518,0.7340853226028863,0.5143857529310583,0.05179387799460486,0.7008214568138404
lyc0lh2d,cfg0,boot05,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.5887380242347717,0.9838047493942632,0.9885445001175476,0.9630842972007275,1.0,1.0,0.8556167289793956,0.8557653806329955,0.7319512654220856,0.22026934552973948,0.8250701014682524
lyc0lh2d,cfg0,boot06,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7630525827407837,0.9784811687824353,0.9806406212154047,0.9237531365381377,1.0,1.0,0.6726521604325794,0.6890981130758053,0.4452910499409253,0.04279981040571569,0.6635780005433629
lyc0lh2d,cfg0,boot06,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7625449895858765,0.978628585396138,0.9806725243809392,0.9276921761657602,0.9999999999999999,1.0,0.6935921293674242,0.7096918575926879,0.4741875374286544,0.05118124390507279,0.7026980226568931
lyc0lh2d,cfg0,boot06,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7704526782035828,0.9782244561752745,0.9803118880021168,0.9289084169209585,0.9999999999999998,1.0,0.698718208026217,0.7133907592527271,0.48285742431228806,0.059739997452427265,0.6944320745299305
lyc0lh2d,cfg0,boot06,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7701036930084229,0.9780260455403876,0.9803497698281608,0.9305951197053889,0.9999999999999999,1.0,0.7067852207115133,0.7218030121720678,0.49512929682617546,0.05462842562279012,0.6890498845205739
lyc0lh2d,cfg0,boot06,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7655918598175049,0.9780840719036226,0.9805067929050056,0.93270172243758,1.0,1.0,0.7172530749342424,0.7329179418881789,0.510530242183999,0.05210785098341776,0.6829254562117779
lyc0lh2d,cfg0,boot06,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.575853168964386,0.9837059692859406,0.9885177011565686,0.9628157152069077,0.9999999999999999,1.0,0.8542467267821836,0.8553905196091518,0.7296322364804166,0.19706566245230273,0.7930177651344211
lyc0lh2d,cfg0,boot07,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7678717374801636,0.9771109193190822,0.9791043879585988,0.9256272500757466,0.9999999999999999,1.0,0.6797709314591134,0.6935053074347223,0.45862641791134473,0.039748143866111106,0.6632611572805882
lyc0lh2d,cfg0,boot07,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7600862979888916,0.9785083653244437,0.9807958200438472,0.9294236838174899,0.9999999999999999,1.0,0.7009115805102977,0.7150031345817958,0.4854791214087668,0.04217395404762243,0.6788327641540793
lyc0lh2d,cfg0,boot07,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7670470476150513,0.9782961818067789,0.9804346657652692,0.9297620816166476,0.9999999999999999,1.0,0.702655771150541,0.7174919858416271,0.4884559731127327,0.05136931233275951,0.6887100872656771
lyc0lh2d,cfg0,boot07,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7665373682975769,0.9782242678213287,0.980465143567726,0.9314087465309534,1.0,1.0,0.7110379555538829,0.7257144373220383,0.5009059019575179,0.04592956402555263,0.6706553156293543
