sweep_id,config,bootstrap,embedding,embedding_label,fold,input_dim,n_rows,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim
lyc0lh2d,cfg1,boot00,z,Head export (z),0,1024,66296,0.13361557601131507,0.07246193889577587,0.8801398434758704,0.1471177656130553,0.11532940989587914,5000,18.184076775352807,0.48885319410039596,0.0022349645264619533,1024
lyc0lh2d,cfg1,boot01,vn03,VN 3,0,336,66296,0.44516642341468415,0.07062140678485594,0.09629961408064915,0.44041247371661624,0.10239456563266307,5000,61.39467805312574,0.09105766952081641,0.08577346709752283,336
lyc0lh2d,cfg1,boot01,vn06,VN 6,0,336,66296,0.4650294592361642,0.07062140678485594,0.12650798465556287,0.459789424587355,0.1150878077095936,5000,64.27024765291999,0.09098206103393394,0.20143326179411056,336
lyc0lh2d,cfg1,boot01,vn09,VN 9,0,336,66296,0.47543266279935437,0.07062140678485594,0.13881241267271346,0.4701815063550923,0.11796218344710364,5000,63.07497844628377,0.09245467810127153,0.21268957488809892,336
lyc0lh2d,cfg1,boot01,vn12,VN 12,0,336,66296,0.4836029035520128,0.07062140678485594,0.14670244545877167,0.4784187420302706,0.12007899100260642,5000,63.09045304969741,0.09333333958119086,0.22192668984344832,336
lyc0lh2d,cfg1,boot01,vn15,VN 15,0,336,66296,0.48264141272680966,0.07062140678485594,0.15926148027273337,0.4774885991568197,0.12019515570384942,5000,63.55406357591193,0.09789886122511042,0.2417856166387343,336
lyc0lh2d,cfg1,boot01,pooled512,Pooled embedding,0,512,66296,0.17072624628731337,0.07062140678485594,0.46907807505926874,0.1558039388623433,0.15605690304069061,5000,97.7740271237474,0.18677221896608606,0.11202284563068124,512
lyc0lh2d,cfg1,boot01,z,Head export (z),0,1024,66296,0.1671195403465308,0.07062140678485594,0.8454014851126933,0.2011042649677675,0.1263142076485823,5000,34.31294916074787,0.35761004467305285,3.6905876657321273e-06,1024
lyc0lh2d,cfg1,boot02,vn03,VN 3,0,336,66296,0.42844280417394776,0.06915386102412013,0.0844008547165322,0.42411946744780804,0.10371832651348274,5000,61.33299172501392,0.09236175325957796,0.06955295963369702,336
lyc0lh2d,cfg1,boot02,vn06,VN 6,0,336,66296,0.44102060608343513,0.06915386102412013,0.09995070817589202,0.4362934160228293,0.11756709514486603,5000,63.8663263193726,0.08611448278361425,0.17157414124272566,336
lyc0lh2d,cfg1,boot02,vn09,VN 9,0,336,66296,0.4524235666541302,0.06915386102412013,0.11025560495656103,0.4475274216521391,0.1194361749826212,5000,62.226593893050364,0.08460888407382967,0.1930955587793567,336
lyc0lh2d,cfg1,boot02,vn12,VN 12,0,336,66296,0.4575265069794673,0.06915386102412013,0.12526936996920582,0.45242752336147324,0.11951013572341208,5000,61.5455299553721,0.09094056861775379,0.21140245567277316,336
lyc0lh2d,cfg1,boot02,vn15,VN 15,0,336,66296,0.4549570567831671,0.06915386102412013,0.13715380514604192,0.4497223239776478,0.11924315202235707,5000,60.89198603668961,0.09884965809555092,0.22482925465607045,336
lyc0lh2d,cfg1,boot02,pooled512,Pooled embedding,0,512,66296,0.163183889295022,0.06915386102412013,0.44116755653439427,0.1478401938190145,0.14914513393710857,5000,90.79259236434046,0.18031719959719097,0.13161547300339843,512
lyc0lh2d,cfg1,boot02,z,Head export (z),0,1024,66296,0.14783213344494808,0.06915386102412013,0.8990078445373921,0.19560609280140034,0.11725673465400002,5000,17.249495285883796,0.5184518221828394,0.002983934265223061,1024
lyc0lh2d,cfg1,boot03,vn03,VN 3,0,336,66296,0.4116911786468618,0.07224036934730071,0.09619571253945117,0.40662772574276235,0.09964925992822528,5000,60.368764073213946,0.0915453142566386,0.1174884334043532,336
lyc0lh2d,cfg1,boot03,vn06,VN 6,0,336,66296,0.4268918564077721,0.07224036934730071,0.11514932283835513,0.4213763406947524,0.11176350413110363,5000,63.14097168514209,0.09231319439239667,0.15855371833279586,336
lyc0lh2d,cfg1,boot03,vn09,VN 9,0,336,66296,0.4415456060741563,0.07224036934730071,0.13674590647459464,0.4357604972496505,0.115064287166328,5000,61.6346520433892,0.09442103022801712,0.1830138711785571,336
lyc0lh2d,cfg1,boot03,vn12,VN 12,0,336,66296,0.4526179858942198,0.07224036934730071,0.15997062445785848,0.44681584372481603,0.11606845608142444,5000,61.24431557507338,0.1050002291408672,0.2202455733433444,336
